"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"9/7/2022 1 a.m. MDT",5186,5070,5503,317
PSCO,"9/7/2022 2 a.m. MDT",4822,4877,5139,317
PSCO,"9/7/2022 3 a.m. MDT",4566,4664,4809,243
PSCO,"9/7/2022 4 a.m. MDT",4389,4434,4554,165
PSCO,"9/7/2022 5 a.m. MDT",4247,4405,4383,136
PSCO,"9/7/2022 6 a.m. MDT",4313,4555,4371,58
PSCO,"9/7/2022 7 a.m. MDT",4578,4843,4564,-14
PSCO,"9/7/2022 8 a.m. MDT",4655,4958,4754,99
PSCO,"9/7/2022 9 a.m. MDT",4823,5106,4795,-28
PSCO,"9/7/2022 10 a.m. MDT",5055,5366,5065,10
PSCO,"9/7/2022 11 a.m. MDT",5418,5743,5445,27
PSCO,"9/7/2022 12 p.m. MDT",5813,6188,5906,93
PSCO,"9/7/2022 1 p.m. MDT",6282,6675,6403,121
PSCO,"9/7/2022 2 p.m. MDT",6855,7246,6945,90
PSCO,"9/7/2022 3 p.m. MDT",7309,7712,7461,152
PSCO,"9/7/2022 4 p.m. MDT",7696,8031,7880,184
PSCO,"9/7/2022 5 p.m. MDT",7979,8300,8127,148
PSCO,"9/7/2022 6 p.m. MDT",8067,8415,8271,204
PSCO,"9/7/2022 7 p.m. MDT",7846,8149,7973,127
PSCO,"9/7/2022 8 p.m. MDT",7432,7607,7532,100
PSCO,"9/7/2022 9 p.m. MDT",7058,7345,7175,117
PSCO,"9/7/2022 10 p.m. MDT",6489,6691,6631,142
PSCO,"9/7/2022 11 p.m. MDT",5968,6004,6008,40
PSCO,"9/8/2022 12 a.m. MDT",5550,5428,5599,49
PSCO,"9/8/2022 1 a.m. MDT",5182,4992,5511,329
PSCO,"9/8/2022 2 a.m. MDT",4886,4767,5350,464
PSCO,"9/8/2022 3 a.m. MDT",4663,4581,5125,462
PSCO,"9/8/2022 4 a.m. MDT",4518,4410,4980,462
PSCO,"9/8/2022 5 a.m. MDT",4495,4403,4798,303
PSCO,"9/8/2022 6 a.m. MDT",4596,4548,5000,404
PSCO,"9/8/2022 7 a.m. MDT",4832,4794,4983,151
PSCO,"9/8/2022 8 a.m. MDT",4932,4874,5099,167
PSCO,"9/8/2022 9 a.m. MDT",5100,5102,5137,37
PSCO,"9/8/2022 10 a.m. MDT",5399,5416,5455,56
PSCO,"9/8/2022 11 a.m. MDT",5790,5812,5867,77
PSCO,"9/8/2022 12 p.m. MDT",6297,6334,6464,167
PSCO,"9/8/2022 1 p.m. MDT",6792,6787,6830,38
PSCO,"9/8/2022 2 p.m. MDT",7193,7343,7235,42
PSCO,"9/8/2022 3 p.m. MDT",7453,7891,7538,85
PSCO,"9/8/2022 4 p.m. MDT",7681,8159,7911,230
PSCO,"9/8/2022 5 p.m. MDT",7739,8291,7741,2
PSCO,"9/8/2022 6 p.m. MDT",7560,8205,7482,-78
PSCO,"9/8/2022 7 p.m. MDT",7249,7946,7156,-93
PSCO,"9/8/2022 8 p.m. MDT",6995,7474,7008,13
PSCO,"9/8/2022 9 p.m. MDT",6717,7101,6675,-42
PSCO,"9/8/2022 10 p.m. MDT",6193,6448,6040,-153
PSCO,"9/8/2022 11 p.m. MDT",5668,5677,5642,-26
PSCO,"9/9/2022 12 a.m. MDT",5252,5231,5124,-128
PSCO,"9/9/2022 1 a.m. MDT",4815,4706,4874,59
PSCO,"9/9/2022 2 a.m. MDT",4524,4368,4706,182
PSCO,"9/9/2022 3 a.m. MDT",4351,4190,4468,117
PSCO,"9/9/2022 4 a.m. MDT",4217,4069,4586,369
PSCO,"9/9/2022 5 a.m. MDT",4266,4060,4665,399
PSCO,"9/9/2022 6 a.m. MDT",4373,4288,4739,366
PSCO,"9/9/2022 7 a.m. MDT",4589,4471,4872,283
PSCO,"9/9/2022 8 a.m. MDT",4696,4504,4953,257
PSCO,"9/9/2022 9 a.m. MDT",4726,4570,5107,381
PSCO,"9/9/2022 10 a.m. MDT",4653,4655,5084,431
PSCO,"9/9/2022 11 a.m. MDT",4763,4702,5045,282
PSCO,"9/9/2022 12 p.m. MDT",4700,4813,4944,244
PSCO,"9/9/2022 1 p.m. MDT",4736,4914,4907,171
PSCO,"9/9/2022 2 p.m. MDT",4772,5082,4974,202
PSCO,"9/9/2022 3 p.m. MDT",4803,5171,4790,-13
PSCO,"9/9/2022 4 p.m. MDT",4925,5240,4996,71
PSCO,"9/9/2022 5 p.m. MDT",4914,5333,5110,196
PSCO,"9/9/2022 6 p.m. MDT",4926,5346,5034,108
PSCO,"9/9/2022 7 p.m. MDT",4911,5219,4815,-96
PSCO,"9/9/2022 8 p.m. MDT",4828,5127,4778,-50
PSCO,"9/9/2022 9 p.m. MDT",4678,5000,4497,-181
PSCO,"9/9/2022 10 p.m. MDT",4424,4764,4242,-182
PSCO,"9/9/2022 11 p.m. MDT",4333,4473,4194,-139
PSCO,"9/10/2022 12 a.m. MDT",4112,4190,4087,-25
PSCO,"9/10/2022 1 a.m. MDT",3878,3832,3875,-3
PSCO,"9/10/2022 2 a.m. MDT",3766,3674,3718,-48
PSCO,"9/10/2022 3 a.m. MDT",3688,3571,3679,-9
PSCO,"9/10/2022 4 a.m. MDT",3659,3617,3660,1
PSCO,"9/10/2022 5 a.m. MDT",3539,3601,3580,41
PSCO,"9/10/2022 6 a.m. MDT",3583,3634,3728,145
PSCO,"9/10/2022 7 a.m. MDT",3697,3780,3767,70
PSCO,"9/10/2022 8 a.m. MDT",3835,3817,3803,-32
PSCO,"9/10/2022 9 a.m. MDT",3994,3890,3812,-182
PSCO,"9/10/2022 10 a.m. MDT",4083,3946,3835,-248
PSCO,"9/10/2022 11 a.m. MDT",4156,3964,3919,-237
PSCO,"9/10/2022 12 p.m. MDT",3775,3999,3517,-258
PSCO,"9/10/2022 1 p.m. MDT",4188,4024,4041,-147
PSCO,"9/10/2022 2 p.m. MDT",4193,4091,4046,-147
PSCO,"9/10/2022 3 p.m. MDT",4180,4116,4011,-169
PSCO,"9/10/2022 4 p.m. MDT",4205,4180,4024,-181
PSCO,"9/10/2022 5 p.m. MDT",4297,4291,4034,-263
PSCO,"9/10/2022 6 p.m. MDT",4368,4375,4123,-245
PSCO,"9/10/2022 7 p.m. MDT",4403,4455,4002,-401
PSCO,"9/10/2022 8 p.m. MDT",4454,4596,4075,-379
PSCO,"9/10/2022 9 p.m. MDT",4366,4494,4041,-325
PSCO,"9/10/2022 10 p.m. MDT",4194,4354,3857,-337
PSCO,"9/10/2022 11 p.m. MDT",3979,4096,3666,-313
PSCO,"9/11/2022 12 a.m. MDT",3765,3920,3609,-156
PSCO,"9/11/2022 1 a.m. MDT",3725,3866,3438,-287
PSCO,"9/11/2022 2 a.m. MDT",3688,3718,3505,-183
PSCO,"9/11/2022 3 a.m. MDT",3583,3633,3444,-139
PSCO,"9/11/2022 4 a.m. MDT",3549,3589,3505,-44
PSCO,"9/11/2022 5 a.m. MDT",3573,3573,3512,-61
