"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"10/9/2022 6 p.m. MDT",4471,4594,4301,-170
PSCO,"10/9/2022 7 p.m. MDT",4623,4882,4439,-184
PSCO,"10/9/2022 8 p.m. MDT",4623,5025,4438,-185
PSCO,"10/9/2022 9 p.m. MDT",4458,4780,4227,-231
PSCO,"10/9/2022 10 p.m. MDT",4213,4526,4073,-140
PSCO,"10/9/2022 11 p.m. MDT",3992,4292,4015,23
PSCO,"10/10/2022 12 a.m. MDT",3732,3941,3792,60
PSCO,"10/10/2022 1 a.m. MDT",3555,3641,3711,156
PSCO,"10/10/2022 2 a.m. MDT",3486,3619,3719,233
PSCO,"10/10/2022 3 a.m. MDT",3392,3571,3656,264
PSCO,"10/10/2022 4 a.m. MDT",3429,3551,3622,193
PSCO,"10/10/2022 5 a.m. MDT",3492,3688,3685,193
PSCO,"10/10/2022 6 a.m. MDT",3697,3889,3746,49
PSCO,"10/10/2022 7 a.m. MDT",4094,4230,4035,-59
PSCO,"10/10/2022 8 a.m. MDT",4312,4377,4246,-66
PSCO,"10/10/2022 9 a.m. MDT",4236,4302,4034,-202
PSCO,"10/10/2022 10 a.m. MDT",4176,4235,4046,-130
PSCO,"10/10/2022 11 a.m. MDT",4109,4188,4183,74
PSCO,"10/10/2022 12 p.m. MDT",4167,4152,4263,96
PSCO,"10/10/2022 1 p.m. MDT",4248,4195,4298,50
PSCO,"10/10/2022 2 p.m. MDT",4372,4317,4437,65
PSCO,"10/10/2022 3 p.m. MDT",4417,4356,4538,121
PSCO,"10/10/2022 4 p.m. MDT",4553,4505,4533,-20
PSCO,"10/10/2022 5 p.m. MDT",4682,4727,4526,-156
PSCO,"10/10/2022 6 p.m. MDT",4890,4868,4729,-161
PSCO,"10/10/2022 7 p.m. MDT",4920,4888,4879,-41
PSCO,"10/10/2022 8 p.m. MDT",4899,4883,4961,62
PSCO,"10/10/2022 9 p.m. MDT",4715,4685,4766,51
PSCO,"10/10/2022 10 p.m. MDT",4443,4451,4401,-42
PSCO,"10/10/2022 11 p.m. MDT",4076,4128,4089,13
PSCO,"10/11/2022 12 a.m. MDT",3778,3879,3853,75
PSCO,"10/11/2022 1 a.m. MDT",3574,3747,3581,7
PSCO,"10/11/2022 2 a.m. MDT",3479,3648,3551,72
PSCO,"10/11/2022 3 a.m. MDT",3421,3500,3457,36
PSCO,"10/11/2022 4 a.m. MDT",3453,3500,3562,109
PSCO,"10/11/2022 5 a.m. MDT",3510,3569,3572,62
PSCO,"10/11/2022 6 a.m. MDT",3757,3836,3693,-64
PSCO,"10/11/2022 7 a.m. MDT",4233,4195,4116,-117
PSCO,"10/11/2022 8 a.m. MDT",4399,4347,4231,-168
PSCO,"10/11/2022 9 a.m. MDT",4386,4303,4274,-112
PSCO,"10/11/2022 10 a.m. MDT",4274,4246,4311,37
PSCO,"10/11/2022 11 a.m. MDT",4291,4226,4276,-15
PSCO,"10/11/2022 12 p.m. MDT",4390,4258,4358,-32
PSCO,"10/11/2022 1 p.m. MDT",4461,4341,4347,-114
PSCO,"10/11/2022 2 p.m. MDT",4637,4393,4506,-131
PSCO,"10/11/2022 3 p.m. MDT",4788,4437,4730,-58
PSCO,"10/11/2022 4 p.m. MDT",4766,4596,4690,-76
PSCO,"10/11/2022 5 p.m. MDT",4806,4718,4619,-187
PSCO,"10/11/2022 6 p.m. MDT",4885,4812,4746,-139
PSCO,"10/11/2022 7 p.m. MDT",4955,4991,4921,-34
PSCO,"10/11/2022 8 p.m. MDT",4898,5006,4840,-58
PSCO,"10/11/2022 9 p.m. MDT",4735,4792,4563,-172
PSCO,"10/11/2022 10 p.m. MDT",4465,4517,4434,-31
PSCO,"10/11/2022 11 p.m. MDT",4117,4218,4050,-67
PSCO,"10/12/2022 12 a.m. MDT",3854,3956,3688,-166
PSCO,"10/12/2022 1 a.m. MDT",3704,3728,3434,-270
PSCO,"10/12/2022 2 a.m. MDT",3589,3690,3503,-86
PSCO,"10/12/2022 3 a.m. MDT",3577,3526,3556,-21
PSCO,"10/12/2022 4 a.m. MDT",3579,3541,3511,-68
PSCO,"10/12/2022 5 a.m. MDT",3690,3604,3435,-255
PSCO,"10/12/2022 6 a.m. MDT",3916,3884,3691,-225
PSCO,"10/12/2022 7 a.m. MDT",4324,4290,3996,-328
PSCO,"10/12/2022 8 a.m. MDT",4526,4472,4255,-271
PSCO,"10/12/2022 9 a.m. MDT",4436,4393,4235,-201
PSCO,"10/12/2022 10 a.m. MDT",4302,4233,4145,-157
PSCO,"10/12/2022 11 a.m. MDT",4259,4180,4232,-27
PSCO,"10/12/2022 12 p.m. MDT",4276,4165,4291,15
PSCO,"10/12/2022 1 p.m. MDT",4287,4186,4328,41
PSCO,"10/12/2022 2 p.m. MDT",4312,4266,4249,-63
PSCO,"10/12/2022 3 p.m. MDT",4348,4358,4287,-61
PSCO,"10/12/2022 4 p.m. MDT",4413,4473,4398,-15
PSCO,"10/12/2022 5 p.m. MDT",4575,4603,4534,-41
PSCO,"10/12/2022 6 p.m. MDT",4729,4731,4592,-137
PSCO,"10/12/2022 7 p.m. MDT",4801,4814,4429,-372
PSCO,"10/12/2022 8 p.m. MDT",4780,4844,4528,-252
PSCO,"10/12/2022 9 p.m. MDT",4631,4658,4343,-288
PSCO,"10/12/2022 10 p.m. MDT",4386,4458,3993,-393
PSCO,"10/12/2022 11 p.m. MDT",4088,4163,3726,-362
PSCO,"10/13/2022 12 a.m. MDT",3826,3934,3488,-338
PSCO,"10/13/2022 1 a.m. MDT",3628,3774,3217,-411
PSCO,"10/13/2022 2 a.m. MDT",3617,3600,3301,-316
PSCO,"10/13/2022 3 a.m. MDT",3593,3577,3247,-346
PSCO,"10/13/2022 4 a.m. MDT",3565,3593,3209,-356
PSCO,"10/13/2022 5 a.m. MDT",3682,3660,3431,-251
PSCO,"10/13/2022 6 a.m. MDT",3966,3954,3607,-359
PSCO,"10/13/2022 7 a.m. MDT",4330,4368,3954,-376
PSCO,"10/13/2022 8 a.m. MDT",4474,4538,4005,-469
PSCO,"10/13/2022 9 a.m. MDT",4398,4438,3985,-413
PSCO,"10/13/2022 10 a.m. MDT",4276,4275,4132,-144
PSCO,"10/13/2022 11 a.m. MDT",4223,4175,4132,-91
PSCO,"10/13/2022 12 p.m. MDT",4184,4148,4062,-122
PSCO,"10/13/2022 1 p.m. MDT",4206,4107,4113,-93
PSCO,"10/13/2022 2 p.m. MDT",4249,4164,4108,-141
PSCO,"10/13/2022 3 p.m. MDT",4304,4279,4080,-224
PSCO,"10/13/2022 4 p.m. MDT",4400,4387,4155,-245
PSCO,"10/13/2022 5 p.m. MDT",4563,4566,4184,-379
PSCO,"10/13/2022 6 p.m. MDT",4658,4687,4081,-577
PSCO,"10/13/2022 7 p.m. MDT",4735,4788,4130,-605
PSCO,"10/13/2022 8 p.m. MDT",4754,4817,4159,-595
PSCO,"10/13/2022 9 p.m. MDT",4645,4633,4091,-554
PSCO,"10/13/2022 10 p.m. MDT",4458,4432,3947,-511
PSCO,"10/13/2022 11 p.m. MDT",4127,4156,3797,-330
PSCO,"10/14/2022 12 a.m. MDT",3912,3916,3640,-272
