"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"8/6/2022 3 a.m. MDT",4988,4660,5246,258
PSCO,"8/6/2022 4 a.m. MDT",4794,4458,5023,229
PSCO,"8/6/2022 5 a.m. MDT",4726,4362,4978,252
PSCO,"8/6/2022 6 a.m. MDT",4699,4385,5058,359
PSCO,"8/6/2022 7 a.m. MDT",4701,4312,4941,240
PSCO,"8/6/2022 8 a.m. MDT",4774,4457,4767,-7
PSCO,"8/6/2022 9 a.m. MDT",4913,4739,4830,-83
PSCO,"8/6/2022 10 a.m. MDT",5286,5123,5096,-190
PSCO,"8/6/2022 11 a.m. MDT",5687,5552,5521,-166
PSCO,"8/6/2022 12 p.m. MDT",6004,5914,5694,-310
PSCO,"8/6/2022 1 p.m. MDT",6328,6314,6030,-298
PSCO,"8/6/2022 2 p.m. MDT",6692,6617,6362,-330
PSCO,"8/6/2022 3 p.m. MDT",7053,6860,6731,-322
PSCO,"8/6/2022 4 p.m. MDT",7113,7020,6865,-248
PSCO,"8/6/2022 5 p.m. MDT",6987,7203,6660,-327
PSCO,"8/6/2022 6 p.m. MDT",6951,7048,6635,-316
PSCO,"8/6/2022 7 p.m. MDT",6721,6834,6363,-358
PSCO,"8/6/2022 8 p.m. MDT",6434,6556,6213,-221
PSCO,"8/6/2022 9 p.m. MDT",6273,6449,5972,-301
PSCO,"8/6/2022 10 p.m. MDT",5993,6201,5721,-272
PSCO,"8/6/2022 11 p.m. MDT",5586,5748,5584,-2
PSCO,"8/7/2022 12 a.m. MDT",5137,5329,5196,59
PSCO,"8/7/2022 1 a.m. MDT",4808,4915,4955,147
PSCO,"8/7/2022 2 a.m. MDT",4558,4618,4664,106
PSCO,"8/7/2022 3 a.m. MDT",4563,4455,4624,61
PSCO,"8/7/2022 4 a.m. MDT",4484,4266,4479,-5
PSCO,"8/7/2022 5 a.m. MDT",4427,4152,4431,4
PSCO,"8/7/2022 6 a.m. MDT",4433,4147,4473,40
PSCO,"8/7/2022 7 a.m. MDT",4398,4158,4386,-12
PSCO,"8/7/2022 8 a.m. MDT",4457,4201,4340,-117
PSCO,"8/7/2022 9 a.m. MDT",4690,4360,4617,-73
