"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"12/10/2022 3 a.m. MST",4408,4386,4485,77
PSCO,"12/10/2022 4 a.m. MST",4404,4416,4584,180
PSCO,"12/10/2022 5 a.m. MST",4453,4397,4615,162
PSCO,"12/10/2022 6 a.m. MST",4620,4586,4849,229
PSCO,"12/10/2022 7 a.m. MST",4852,4848,5155,303
PSCO,"12/10/2022 8 a.m. MST",4986,4949,5137,151
PSCO,"12/10/2022 9 a.m. MST",4859,4852,4966,107
PSCO,"12/10/2022 10 a.m. MST",4709,4749,5090,381
PSCO,"12/10/2022 11 a.m. MST",4639,4624,4990,351
PSCO,"12/10/2022 12 p.m. MST",4519,4532,4952,433
PSCO,"12/10/2022 1 p.m. MST",4522,4385,4969,447
PSCO,"12/10/2022 2 p.m. MST",4500,4333,4817,317
PSCO,"12/10/2022 3 p.m. MST",4495,4357,4762,267
PSCO,"12/10/2022 4 p.m. MST",4689,4585,5061,372
PSCO,"12/10/2022 5 p.m. MST",5074,4993,5400,326
PSCO,"12/10/2022 6 p.m. MST",5405,5467,5810,405
PSCO,"12/10/2022 7 p.m. MST",5382,5440,5865,483
PSCO,"12/10/2022 8 p.m. MST",5256,5330,5665,409
PSCO,"12/10/2022 9 p.m. MST",5160,5194,5609,449
PSCO,"12/10/2022 10 p.m. MST",5059,5065,5421,362
PSCO,"12/10/2022 11 p.m. MST",4805,4854,5321,516
PSCO,"12/11/2022 12 a.m. MST",4604,4648,5025,421
PSCO,"12/11/2022 1 a.m. MST",4499,4497,4897,398
PSCO,"12/11/2022 2 a.m. MST",4463,4454,4853,390
PSCO,"12/11/2022 3 a.m. MST",4377,4398,4705,328
PSCO,"12/11/2022 4 a.m. MST",4309,4335,4621,312
PSCO,"12/11/2022 5 a.m. MST",4327,4403,4455,128
PSCO,"12/11/2022 6 a.m. MST",4421,4401,4563,142
PSCO,"12/11/2022 7 a.m. MST",4598,4647,4772,174
PSCO,"12/11/2022 8 a.m. MST",4621,4781,4928,307
PSCO,"12/11/2022 9 a.m. MST",4595,4663,4981,386
PSCO,"12/11/2022 10 a.m. MST",4488,4507,4879,391
PSCO,"12/11/2022 11 a.m. MST",4432,4469,4907,475
PSCO,"12/11/2022 12 p.m. MST",4383,4445,4677,294
PSCO,"12/11/2022 1 p.m. MST",4352,4345,4582,230
PSCO,"12/11/2022 2 p.m. MST",4372,4321,4646,274
PSCO,"12/11/2022 3 p.m. MST",4453,4477,4734,281
PSCO,"12/11/2022 4 p.m. MST",4648,4624,4872,224
PSCO,"12/11/2022 5 p.m. MST",4998,5097,5182,184
PSCO,"12/11/2022 6 p.m. MST",5371,5445,5462,91
PSCO,"12/11/2022 7 p.m. MST",5344,5406,5455,111
PSCO,"12/11/2022 8 p.m. MST",5276,5315,5405,129
PSCO,"12/11/2022 9 p.m. MST",5147,5245,5296,149
PSCO,"12/11/2022 10 p.m. MST",4960,5043,5141,181
PSCO,"12/11/2022 11 p.m. MST",4602,4803,4874,272
PSCO,"12/12/2022 12 a.m. MST",4457,4436,4622,165
PSCO,"12/12/2022 1 a.m. MST",4304,4307,4396,92
PSCO,"12/12/2022 2 a.m. MST",4192,4251,4265,73
PSCO,"12/12/2022 3 a.m. MST",4198,4182,4307,109
PSCO,"12/12/2022 4 a.m. MST",4214,4228,4322,108
PSCO,"12/12/2022 5 a.m. MST",4234,4362,4355,121
PSCO,"12/12/2022 6 a.m. MST",4577,4616,4765,188
PSCO,"12/12/2022 7 a.m. MST",4989,5106,5181,192
PSCO,"12/12/2022 8 a.m. MST",5169,5268,5507,338
PSCO,"12/12/2022 9 a.m. MST",5201,5222,5492,291
PSCO,"12/12/2022 10 a.m. MST",5124,5012,5510,386
PSCO,"12/12/2022 11 a.m. MST",5067,4910,5535,468
PSCO,"12/12/2022 12 p.m. MST",5054,4817,5607,553
PSCO,"12/12/2022 1 p.m. MST",4951,4757,5586,635
PSCO,"12/12/2022 2 p.m. MST",4907,4767,5543,636
PSCO,"12/12/2022 3 p.m. MST",5009,5053,5691,682
PSCO,"12/12/2022 4 p.m. MST",5156,5263,5843,687
PSCO,"12/12/2022 5 p.m. MST",5458,5484,6042,584
PSCO,"12/12/2022 6 p.m. MST",5822,5832,6310,488
PSCO,"12/12/2022 7 p.m. MST",5798,5753,6352,554
PSCO,"12/12/2022 8 p.m. MST",5723,5657,6203,480
PSCO,"12/12/2022 9 p.m. MST",5595,5521,6038,443
PSCO,"12/12/2022 10 p.m. MST",5397,5296,5911,514
PSCO,"12/12/2022 11 p.m. MST",5029,4949,5457,428
PSCO,"12/13/2022 12 a.m. MST",4851,4695,5268,417
PSCO,"12/13/2022 1 a.m. MST",4666,4523,5017,351
PSCO,"12/13/2022 2 a.m. MST",4583,4467,4992,409
PSCO,"12/13/2022 3 a.m. MST",4557,4478,4887,330
PSCO,"12/13/2022 4 a.m. MST",4568,4529,4837,269
PSCO,"12/13/2022 5 a.m. MST",4722,4648,5003,281
PSCO,"12/13/2022 6 a.m. MST",5013,4828,5291,278
PSCO,"12/13/2022 7 a.m. MST",5382,5220,5722,340
PSCO,"12/13/2022 8 a.m. MST",5593,5459,6120,527
PSCO,"12/13/2022 9 a.m. MST",5643,5478,6131,488
PSCO,"12/13/2022 10 a.m. MST",5727,5550,6142,415
PSCO,"12/13/2022 11 a.m. MST",5743,5550,6151,408
PSCO,"12/13/2022 12 p.m. MST",5795,5546,5950,155
PSCO,"12/13/2022 1 p.m. MST",5749,5493,5809,60
PSCO,"12/13/2022 2 p.m. MST",5792,5458,5823,31
PSCO,"12/13/2022 3 p.m. MST",5711,5457,5755,44
PSCO,"12/13/2022 4 p.m. MST",5755,5532,6035,280
PSCO,"12/13/2022 5 p.m. MST",6076,5819,6372,296
PSCO,"12/13/2022 6 p.m. MST",6331,6130,6653,322
PSCO,"12/13/2022 7 p.m. MST",6235,6016,6736,501
PSCO,"12/13/2022 8 p.m. MST",6119,5893,6606,487
PSCO,"12/13/2022 9 p.m. MST",5946,5710,6490,544
PSCO,"12/13/2022 10 p.m. MST",5671,5477,6176,505
PSCO,"12/13/2022 11 p.m. MST",5329,5104,5861,532
PSCO,"12/14/2022 12 a.m. MST",5091,4860,5738,647
PSCO,"12/14/2022 1 a.m. MST",4920,4680,5359,439
PSCO,"12/14/2022 2 a.m. MST",4792,4631,5336,544
PSCO,"12/14/2022 3 a.m. MST",4799,4610,5408,609
PSCO,"12/14/2022 4 a.m. MST",4826,4637,5454,628
PSCO,"12/14/2022 5 a.m. MST",4950,4733,5571,621
PSCO,"12/14/2022 6 a.m. MST",5244,4978,5908,664
PSCO,"12/14/2022 7 a.m. MST",5641,5348,6120,479
PSCO,"12/14/2022 8 a.m. MST",5838,5556,6293,455
PSCO,"12/14/2022 9 a.m. MST",5755,5531,6108,353
PSCO,"12/14/2022 10 a.m. MST",5627,5605,5911,284
PSCO,"12/14/2022 11 a.m. MST",5478,5587,5697,219
PSCO,"12/14/2022 12 p.m. MST",5398,5567,5646,248
PSCO,"12/14/2022 1 p.m. MST",5387,5524,5697,310
PSCO,"12/14/2022 2 p.m. MST",5331,5464,5635,304
PSCO,"12/14/2022 3 p.m. MST",5398,5409,5629,231
PSCO,"12/14/2022 4 p.m. MST",5544,5467,5882,338
PSCO,"12/14/2022 5 p.m. MST",5813,5763,6204,391
