,_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
31,5e23b149f9af8b5fe4b973ed,0001,"Thu, 02 Jan 2020 16:29:18 GMT","Fri, 03 Jan 2020 01:51:26 GMT","Thu, 02 Jan 2020 19:22:39 GMT",16.375,1_1_179_794_2020-01-02 16:29:18.224583,0001,AG-3F20,1-1-179-794,America/Los_Angeles,000000335,"[{'WhPerMile': 231, 'kWhRequested': 27.72, 'milesRequested': 120, 'minutesAvailable': 373, 'modifiedAt': 'Thu, 02 Jan 2020 16:29:38 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 22:42:18 GMT', 'userID': 335}]"
32,5e23b149f9af8b5fe4b973ee,0001,"Thu, 02 Jan 2020 16:31:32 GMT","Thu, 02 Jan 2020 23:19:43 GMT","Thu, 02 Jan 2020 22:25:42 GMT",34.892,1_1_179_779_2020-01-02 16:31:31.812167,0001,AG-3F17,1-1-179-779,America/Los_Angeles,000000458,"[{'WhPerMile': 600, 'kWhRequested': 78.0, 'milesRequested': 130, 'minutesAvailable': 720, 'modifiedAt': 'Thu, 02 Jan 2020 16:32:33 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 03 Jan 2020 04:31:32 GMT', 'userID': 458}, {'WhPerMile': 600, 'kWhRequested': 78.0, 'milesRequested': 130, 'minutesAvailable': 721, 'modifiedAt': 'Thu, 02 Jan 2020 16:33:49 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 03 Jan 2020 04:32:32 GMT', 'userID': 458}, {'WhPerMile': 600, 'kWhRequested': 66.0, 'milesRequested': 110, 'minutesAvailable': 722, 'modifiedAt': 'Thu, 02 Jan 2020 16:35:16 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 03 Jan 2020 04:33:32 GMT', 'userID': 458}]"
33,5e23b149f9af8b5fe4b973ef,0001,"Thu, 02 Jan 2020 16:31:55 GMT","Fri, 03 Jan 2020 01:01:31 GMT","Thu, 02 Jan 2020 19:38:12 GMT",18.963,1_1_179_801_2020-01-02 16:31:54.745116,0001,AG-3F21,1-1-179-801,America/Los_Angeles,000000484,"[{'WhPerMile': 470, 'kWhRequested': 32.9, 'milesRequested': 70, 'minutesAvailable': 374, 'modifiedAt': 'Thu, 02 Jan 2020 16:32:23 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 22:45:55 GMT', 'userID': 484}, {'WhPerMile': 470, 'kWhRequested': 32.9, 'milesRequested': 70, 'minutesAvailable': 374, 'modifiedAt': 'Fri, 03 Jan 2020 01:01:22 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 22:45:55 GMT', 'userID': 484}]"
34,5e23b149f9af8b5fe4b973f0,0001,"Thu, 02 Jan 2020 16:34:35 GMT","Thu, 02 Jan 2020 18:49:41 GMT","Thu, 02 Jan 2020 18:50:38 GMT",7.12,1_1_179_790_2020-01-02 16:34:34.999200,0001,AG-3F19,1-1-179-790,America/Los_Angeles,000002276,"[{'WhPerMile': 600, 'kWhRequested': 18.0, 'milesRequested': 30, 'minutesAvailable': 165, 'modifiedAt': 'Thu, 02 Jan 2020 16:35:06 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 19:19:35 GMT', 'userID': 2276}]"
35,5e23b149f9af8b5fe4b973f1,0001,"Thu, 02 Jan 2020 16:37:05 GMT","Thu, 02 Jan 2020 21:12:32 GMT","Thu, 02 Jan 2020 18:48:08 GMT",6.146,1_1_191_802_2020-01-02 16:37:04.819721,0001,AG-4F44,1-1-191-802,America/Los_Angeles,000000573,"[{'WhPerMile': 400, 'kWhRequested': 20.0, 'milesRequested': 50, 'minutesAvailable': 269, 'modifiedAt': 'Thu, 02 Jan 2020 16:37:23 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 21:06:05 GMT', 'userID': 573}]"
36,5e23b149f9af8b5fe4b973f2,0001,"Thu, 02 Jan 2020 16:37:55 GMT","Thu, 02 Jan 2020 21:44:58 GMT","Thu, 02 Jan 2020 20:39:19 GMT",20.367,1_1_191_789_2020-01-02 16:37:54.979651,0001,AG-4F52,1-1-191-789,America/Los_Angeles,000004007,"[{'WhPerMile': 250, 'kWhRequested': 20.0, 'milesRequested': 80, 'minutesAvailable': 211, 'modifiedAt': 'Thu, 02 Jan 2020 16:38:07 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 20:08:55 GMT', 'userID': 4007}]"
37,5e23b149f9af8b5fe4b973f3,0001,"Thu, 02 Jan 2020 16:39:02 GMT","Thu, 02 Jan 2020 21:21:35 GMT","Thu, 02 Jan 2020 17:55:59 GMT",6.643,1_1_179_781_2020-01-02 16:39:02.402436,0001,AG-3F31,1-1-179-781,America/Los_Angeles,000000413,"[{'WhPerMile': 400, 'kWhRequested': 12.0, 'milesRequested': 30, 'minutesAvailable': 61, 'modifiedAt': 'Thu, 02 Jan 2020 16:39:21 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 17:40:02 GMT', 'userID': 413}]"
38,5e23b149f9af8b5fe4b973f4,0001,"Thu, 02 Jan 2020 16:39:58 GMT","Thu, 02 Jan 2020 19:55:33 GMT","Thu, 02 Jan 2020 18:32:06 GMT",7.631,1_1_191_806_2020-01-02 16:39:57.982625,0001,AG-4F41,1-1-191-806,America/Los_Angeles,000000336,"[{'WhPerMile': 292, 'kWhRequested': 17.52, 'milesRequested': 60, 'minutesAvailable': 189, 'modifiedAt': 'Thu, 02 Jan 2020 16:41:04 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 19:48:58 GMT', 'userID': 336}]"
39,5e23b149f9af8b5fe4b973f5,0001,"Thu, 02 Jan 2020 16:48:03 GMT","Thu, 02 Jan 2020 22:18:12 GMT","Thu, 02 Jan 2020 21:49:28 GMT",8.045,1_1_193_820_2020-01-02 16:48:02.568107,0001,AG-1F04,1-1-193-820,America/Los_Angeles,000000462,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 60, 'modifiedAt': 'Thu, 02 Jan 2020 16:48:14 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 17:48:03 GMT', 'userID': 462}]"
40,5e23b149f9af8b5fe4b973f6,0001,"Thu, 02 Jan 2020 16:56:13 GMT","Fri, 03 Jan 2020 00:46:56 GMT","Thu, 02 Jan 2020 18:38:23 GMT",2.699,1_1_191_785_2020-01-02 16:56:13.403652,0001,AG-4F48,1-1-191-785,America/Los_Angeles,000000444,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 60, 'modifiedAt': 'Thu, 02 Jan 2020 16:56:24 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 17:56:13 GMT', 'userID': 444}]"
41,5e23b149f9af8b5fe4b973f7,0001,"Thu, 02 Jan 2020 17:04:33 GMT","Thu, 02 Jan 2020 22:52:02 GMT","Thu, 02 Jan 2020 20:22:54 GMT",11.752,1_1_191_808_2020-01-02 17:04:33.418260,0001,AG-4F35,1-1-191-808,America/Los_Angeles,000000420,"[{'WhPerMile': 267, 'kWhRequested': 16.02, 'milesRequested': 60, 'minutesAvailable': 207, 'modifiedAt': 'Thu, 02 Jan 2020 17:04:42 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 20:31:33 GMT', 'userID': 420}]"
42,5e23b149f9af8b5fe4b973f8,0001,"Thu, 02 Jan 2020 17:21:05 GMT","Thu, 02 Jan 2020 20:10:40 GMT","Thu, 02 Jan 2020 19:59:39 GMT",0.852,1_1_191_782_2020-01-02 17:21:04.799964,0001,AG-4F50,1-1-191-782,America/Los_Angeles,,
43,5e23b149f9af8b5fe4b973f9,0001,"Thu, 02 Jan 2020 17:29:36 GMT","Fri, 03 Jan 2020 01:23:24 GMT","Thu, 02 Jan 2020 21:28:14 GMT",11.652,1_1_179_813_2020-01-02 17:29:19.447228,0001,AG-3F15,1-1-179-813,America/Los_Angeles,000001060,"[{'WhPerMile': 400, 'kWhRequested': 16.0, 'milesRequested': 40, 'minutesAvailable': 183, 'modifiedAt': 'Thu, 02 Jan 2020 17:29:35 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 20:32:36 GMT', 'userID': 1060}]"
44,5e23b149f9af8b5fe4b973fa,0001,"Thu, 02 Jan 2020 18:18:14 GMT","Fri, 03 Jan 2020 00:17:42 GMT","Thu, 02 Jan 2020 22:31:35 GMT",10.793,1_1_191_795_2020-01-02 18:18:14.510141,0001,AG-4F51,1-1-191-795,America/Los_Angeles,000001461,"[{'WhPerMile': 350, 'kWhRequested': 63.0, 'milesRequested': 180, 'minutesAvailable': 486, 'modifiedAt': 'Thu, 02 Jan 2020 18:18:35 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 03 Jan 2020 02:24:14 GMT', 'userID': 1461}]"
45,5e23b149f9af8b5fe4b973fb,0001,"Thu, 02 Jan 2020 18:36:11 GMT","Fri, 03 Jan 2020 03:36:19 GMT","Thu, 02 Jan 2020 20:51:54 GMT",12.908,1_1_191_807_2020-01-02 18:35:57.705650,0001,AG-4F47,1-1-191-807,America/Los_Angeles,000003680,"[{'WhPerMile': 400, 'kWhRequested': 16.0, 'milesRequested': 40, 'minutesAvailable': 153, 'modifiedAt': 'Thu, 02 Jan 2020 18:36:11 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 21:09:11 GMT', 'userID': 3680}]"
